row_index,Name,Cluster
0,Riya Patel,1
1,Sahil Gupta,2
2,Sahil Mehta,4
3,Kavya Deshmukh,6
4,Arjun Nair,4
5,Kavya Menon,5
6,Ananya Menon,2
7,Arjun Patel,5
8,Meera Singh,1
9,Aarav Reddy,0
10,Isha Pillai,1
11,Sneha Rao,5
12,Aditya Bhat,2
13,Riya Reddy,5
14,Aditya Reddy,6
15,Priya Reddy,5
16,Aditi Gupta,3
17,Isha Pillai,3
18,Kavya Chopra,1
19,Varun Reddy,4
20,Priya Kapoor,6
21,Priya Gupta,2
22,Pooja Verma,3
23,Isha Verma,6
24,Ananya Das,5
25,Priya Chopra,3
26,Sahil Pillai,2
27,Sneha Rao,1
28,Ananya Patel,6
29,Arjun Verma,2
30,Sneha Rao,6
31,Arjun Nair,3
32,Varun Gupta,4
33,Diya Agarwal,5
34,Karan Sharma,5
35,Pooja Sharma,4
36,Sahil Verma,5
37,Aarav Iyer,0
38,Aarav Sharma,6
39,Priya Menon,0
40,Meera Bhat,6
41,Vihaan Bhat,4
42,Ananya Joshi,5
43,Aarav Verma,5
44,Aarav Patel,0
45,Vihaan Kapoor,5
46,Nikhil Gupta,2
47,Sahil Joshi,5
48,Sneha Pillai,6
49,Diya Singh,2
50,Nikhil Patel,4
51,Kavya Bhat,0
52,Vihaan Bose,2
53,Pooja Pillai,1
54,Karan Iyer,2
55,Aarav Bhat,5
56,Raj Iyer,3
57,Pooja Chopra,3
58,Karan Chopra,5
59,Nikhil Reddy,3
60,Priya Reddy,6
61,Sneha Reddy,2
62,Sneha Reddy,0
63,Meera Menon,1
64,Varun Kapoor,4
65,Meera Das,5
66,Rohan Bose,3
67,Vihaan Singh,2
68,Priya Chopra,6
69,Ananya Rao,2
70,Sneha Gupta,5
71,Raj Das,2
72,Aditi Mehta,2
73,Riya Sharma,4
74,Karan Reddy,0
75,Karan Bhat,6
76,Sahil Das,6
77,Meera Mehta,0
78,Varun Pillai,3
79,Riya Joshi,2
80,Diya Deshmukh,4
81,Karan Gupta,4
82,Vihaan Pillai,5
83,Pooja Rao,6
84,Pooja Iyer,6
85,Sahil Reddy,0
86,Diya Joshi,5
87,Rohan Mehta,0
88,Karan Menon,4
89,Diya Bhat,2
90,Rohan Pillai,4
91,Kavya Reddy,0
92,Meera Mehta,6
93,Raj Chopra,4
94,Raj Gupta,1
95,Aarav Patel,2
96,Aditya Agarwal,2
97,Nikhil Reddy,0
98,Vihaan Menon,4
99,Priya Agarwal,3
100,Nikhil Kapoor,1
101,Pooja Reddy,3
102,Riya Gupta,4
103,Riya Pillai,1
104,Isha Gupta,3
105,Rohan Kapoor,6
106,Arjun Bose,0
107,Nikhil Singh,2
108,Arjun Bose,5
109,Diya Patel,4
110,Sahil Reddy,2
111,Pooja Nair,1
112,Aditya Pillai,0
113,Aditi Bhat,6
114,Varun Singh,0
115,Karan Menon,6
116,Vihaan Gupta,3
117,Nikhil Bose,4
118,Karan Pillai,6
119,Arjun Mehta,5
120,Isha Deshmukh,3
121,Varun Nair,0
122,Pooja Iyer,2
123,Varun Nair,6
124,Aditi Sharma,2
125,Isha Kapoor,2
126,Pooja Nair,0
127,Pooja Iyer,3
128,Meera Joshi,4
129,Isha Mehta,2
130,Rohan Reddy,5
131,Aarav Reddy,3
132,Nikhil Joshi,2
133,Aditya Deshmukh,3
134,Isha Singh,3
135,Aditya Agarwal,1
136,Vihaan Reddy,0
137,Aarav Mehta,1
138,Aditya Bhat,4
139,Diya Bose,0
140,Meera Agarwal,2
141,Aarav Iyer,1
142,Diya Das,4
143,Vihaan Agarwal,0
144,Vihaan Patel,6
145,Karan Bhat,5
146,Vihaan Chopra,2
147,Diya Sharma,3
148,Rohan Patel,2
149,Raj Gupta,6
150,Sahil Rao,5
151,Priya Bhat,4
152,Ananya Agarwal,5
153,Vihaan Chopra,5
154,Meera Deshmukh,2
155,Sahil Singh,1
156,Aditya Iyer,6
157,Riya Reddy,2
158,Diya Singh,3
159,Sahil Nair,2
160,Raj Iyer,2
161,Riya Bhat,3
162,Meera Sharma,1
163,Vihaan Kapoor,1
164,Meera Agarwal,3
165,Vihaan Agarwal,2
166,Priya Bose,5
167,Arjun Reddy,3
168,Riya Das,3
169,Ananya Nair,2
170,Aarav Chopra,0
171,Isha Kapoor,6
172,Sneha Pillai,2
173,Aditi Das,4
174,Sahil Kapoor,2
175,Aditi Rao,4
176,Pooja Singh,4
177,Ananya Menon,4
178,Ananya Sharma,4
179,Riya Gupta,3
180,Pooja Pillai,0
181,Aarav Bose,6
182,Diya Bhat,6
183,Meera Reddy,2
184,Diya Pillai,2
185,Isha Pillai,0
186,Aarav Bose,4
187,Sneha Verma,0
188,Rohan Singh,2
189,Varun Bhat,3
190,Vihaan Singh,6
191,Vihaan Chopra,4
192,Sahil Verma,2
193,Sahil Bose,0
194,Kavya Rao,5
195,Aditi Agarwal,2
196,Aditya Pillai,0
197,Diya Das,4
198,Aarav Menon,3
199,Kavya Mehta,5
200,Vihaan Iyer,1
201,Raj Mehta,5
202,Aditi Menon,6
203,Ananya Menon,2
204,Pooja Verma,3
205,Sneha Kapoor,2
206,Riya Menon,3
207,Meera Rao,5
208,Raj Gupta,3
209,Rohan Sharma,3
210,Pooja Mehta,5
211,Sneha Kapoor,3
212,Sneha Menon,1
213,Aarav Iyer,0
214,Sahil Pillai,0
215,Ananya Kapoor,0
216,Kavya Bose,2
217,Vihaan Gupta,0
218,Kavya Reddy,5
219,Sahil Pillai,0
220,Isha Verma,3
221,Riya Iyer,2
222,Kavya Iyer,2
223,Isha Joshi,4
224,Aarav Chopra,1
225,Sahil Chopra,6
226,Aarav Verma,5
227,Pooja Menon,2
228,Aditi Bose,1
229,Nikhil Rao,5
230,Meera Rao,5
231,Meera Nair,1
232,Pooja Kapoor,2
233,Riya Gupta,2
234,Isha Bose,2
235,Vihaan Reddy,4
236,Ananya Mehta,5
237,Pooja Menon,0
238,Aditi Sharma,5
239,Kavya Pillai,1
240,Sneha Bose,0
241,Riya Gupta,6
242,Riya Menon,3
243,Rohan Nair,5
244,Vihaan Rao,2
245,Varun Pillai,1
246,Karan Nair,2
247,Diya Bhat,3
248,Sneha Rao,2
249,Varun Bose,5
250,Sneha Bose,5
251,Priya Mehta,0
252,Vihaan Agarwal,4
253,Arjun Verma,4
254,Isha Patel,5
255,Karan Reddy,6
256,Isha Agarwal,2
257,Karan Das,0
258,Kavya Pillai,1
259,Raj Kapoor,0
260,Sahil Agarwal,5
261,Aarav Bose,5
262,Aditya Singh,2
263,Rohan Sharma,1
264,Riya Bose,4
265,Aditya Chopra,3
266,Aditya Menon,0
267,Karan Patel,3
268,Aditya Rao,2
269,Karan Pillai,6
270,Karan Bhat,2
271,Aditi Singh,6
272,Riya Nair,6
273,Sneha Iyer,0
274,Riya Das,0
275,Karan Singh,6
276,Ananya Agarwal,0
277,Sahil Chopra,6
278,Ananya Sharma,4
279,Aditi Pillai,4
280,Karan Bhat,5
281,Nikhil Patel,6
282,Karan Reddy,3
283,Aditi Deshmukh,2
284,Raj Menon,4
285,Aarav Deshmukh,4
286,Diya Joshi,1
287,Sneha Mehta,4
288,Priya Mehta,2
289,Raj Reddy,1
290,Nikhil Agarwal,5
291,Raj Bose,4
292,Varun Deshmukh,1
293,Kavya Joshi,6
294,Riya Bhat,5
295,Karan Das,6
296,Aditi Chopra,3
297,Arjun Iyer,1
298,Varun Deshmukh,5
299,Aarav Nair,2
300,Sneha Singh,4
301,Varun Menon,2
302,Vihaan Menon,2
303,Arjun Mehta,1
304,Raj Verma,5
305,Priya Menon,3
306,Diya Deshmukh,4
307,Meera Deshmukh,1
308,Aarav Gupta,2
309,Varun Agarwal,6
310,Diya Sharma,6
311,Meera Bose,6
312,Sahil Reddy,2
313,Arjun Singh,3
314,Varun Reddy,2
315,Priya Joshi,1
316,Aditi Rao,2
317,Ananya Sharma,3
318,Diya Bhat,6
319,Diya Iyer,2
320,Kavya Patel,5
321,Sahil Singh,0
322,Riya Bhat,5
323,Kavya Mehta,0
324,Ananya Nair,3
325,Arjun Mehta,0
326,Isha Nair,4
327,Aditya Nair,4
328,Pooja Rao,2
329,Aditya Reddy,5
330,Aditya Joshi,3
331,Aditya Reddy,3
332,Arjun Chopra,2
333,Riya Mehta,2
334,Aditi Bose,1
335,Ananya Joshi,5
336,Karan Deshmukh,2
337,Aditi Agarwal,1
338,Sahil Sharma,5
339,Ananya Bhat,1
340,Sneha Pillai,6
341,Diya Pillai,2
342,Kavya Gupta,2
343,Diya Sharma,3
344,Arjun Verma,3
345,Raj Reddy,2
346,Nikhil Sharma,6
347,Karan Patel,3
348,Raj Agarwal,5
349,Rohan Chopra,3
350,Raj Reddy,2
351,Aditya Mehta,2
352,Sneha Verma,0
353,Priya Bose,5
354,Karan Patel,3
355,Ananya Pillai,0
356,Raj Kapoor,2
357,Arjun Pillai,2
358,Sneha Bose,6
359,Karan Singh,4
360,Aditya Verma,2
361,Aarav Joshi,0
362,Varun Bose,5
363,Ananya Deshmukh,5
364,Diya Das,0
365,Ananya Reddy,2
366,Riya Deshmukh,0
367,Diya Pillai,3
368,Raj Gupta,1
369,Ananya Chopra,2
370,Karan Menon,5
371,Aarav Deshmukh,1
372,Priya Kapoor,2
373,Meera Pillai,2
374,Kavya Deshmukh,2
375,Varun Joshi,3
376,Riya Iyer,5
377,Priya Singh,1
378,Ananya Kapoor,5
379,Vihaan Kapoor,2
380,Ananya Verma,6
381,Aditi Sharma,2
382,Priya Bose,0
383,Karan Pillai,6
384,Rohan Bhat,1
385,Varun Sharma,3
